Demandas ; Vehiculos
d1 ; v23
d2 ; v18
d3 ; v7
d4 ; v8
d5 ; v22
d6 ; v6
d7 ; v26
d8 ; v2
d9 ; v17
d10 ; v27
d11 ; v22
d12 ; v24
d13 ; v16
d14 ; v30
d15 ; v23
d16 ; v15
d17 ; v12
d18 ; v22
d19 ; v3
d20 ; v19
d21 ; v7
d22 ; v13
d23 ; v27
d24 ; v11
d25 ; v13
d26 ; v13
d27 ; v29
d28 ; v15
d29 ; v12
d30 ; v13
d31 ; v17
d32 ; v4
d33 ; v21
d34 ; v5
d35 ; v30
d36 ; v10
d37 ; v4
d38 ; v9
d39 ; v9
d40 ; v11
d41 ; v5
d42 ; v4
d43 ; v21
d44 ; v9
d45 ; v5
d46 ; v12
d47 ; v1
d48 ; v30
d49 ; v20
d50 ; v24
d51 ; v2
d52 ; v1
d53 ; v3
d54 ; v29
d55 ; v4
d56 ; v28
d57 ; v10
d58 ; v20
d59 ; v3
d60 ; v7
d61 ; v30
d62 ; v20
d63 ; v11
d64 ; v29
d65 ; v24
d66 ; v30
d67 ; v1
d68 ; v26
d69 ; v3
d70 ; v26
d71 ; v5
d72 ; v16
d73 ; v28
d74 ; v21
d75 ; v11
d76 ; v17
d77 ; v12
d78 ; v13
d79 ; v24
d80 ; v2
d81 ; v4
d82 ; v29
d83 ; v14
d84 ; v25
d85 ; v18
d86 ; v17
d87 ; v24
d88 ; v11
d89 ; v27
d90 ; v17
d91 ; v5
d92 ; v5
d93 ; v11
d94 ; v1
d95 ; v24
d96 ; v3
d97 ; v22
d98 ; v20
d99 ; v14
d100 ; v27
d101 ; v30
d102 ; v6
d103 ; v5
d104 ; v7
d105 ; v28
d106 ; v12
d107 ; v6
d108 ; v15
d109 ; v7
d110 ; v10
d111 ; v25
d112 ; v15
d113 ; v10
d114 ; v14
d115 ; v8
d116 ; v28
d117 ; v17
d118 ; v14
d119 ; v20
d120 ; v12
d121 ; v18
d122 ; v28
d123 ; v3
d124 ; v8
d125 ; v14
d126 ; v2
d127 ; v17
d128 ; v21
d129 ; v25
d130 ; v23
valor 1382
